Method,File,Column,RMSE
regression,df_ma.csv,Vazao_bbr,36503202.770291105
regression,df_mg.csv,Vazao,249994218.70178583
regression,df_mg.csv,Vazao_bbr,484124426.9776411
regression,df_ms.csv,Vazao,75870647.93235813
regression,df_ms.csv,Vazao_bbr,24260936.531671494
regression,df_mt.csv,Vazao,66549160.42473617
regression,df_mt.csv,Vazao_bbr,33489046.150958963
regression,df_pa.csv,Vazao,649619585.436611
regression,df_pa.csv,Vazao_bbr,694345745.541831
regression,df_pb.csv,Vazao,87037404.947605
regression,df_pb.csv,Vazao_bbr,32209915.379832584
regression,df_pi.csv,Vazao,74542331.78348309
regression,df_pi.csv,Vazao_bbr,30012642.431929693
regression,df_pr.csv,Vazao,280209346.98124266
regression,df_pr.csv,Vazao_bbr,490591999.5350801
regression,df_rj.csv,Vazao,916785343.3935615
regression,df_rj.csv,Vazao_bbr,854290461.6461557
regression,df_rn.csv,Vazao,72887661.60765213
regression,df_rn.csv,Vazao_bbr,42031718.13199821
regression,df_ro.csv,Vazao,66601501.83350462
regression,df_ro.csv,Vazao_bbr,25302776.725543525
regression,df_rr.csv,Vazao,105322117.67368987
regression,df_rr.csv,Vazao_bbr,77169797.69234174
regression,df_rs.csv,Vazao,226787098.4821776
regression,df_rs.csv,Vazao_bbr,323714637.48982215
regression,df_sc.csv,Vazao,720543140.9428786
regression,df_sc.csv,Vazao_bbr,804109552.6088982
regression,df_se.csv,Vazao,116748330.52821633
regression,df_se.csv,Vazao_bbr,35740170.623528555
regression,df_sp.csv,Vazao,737702405.434829
regression,df_sp.csv,Vazao_bbr,758246304.9368025
regression,df_to.csv,Vazao,90669018.75819066
regression,df_to.csv,Vazao_bbr,39542838.20552468
gan,df_ac.csv,Vazao,103443491.46658947
gan,df_ac.csv,Vazao_bbr,41879663.99277975
gan,df_am.csv,Vazao,187520855.5044395
gan,df_am.csv,Vazao_bbr,42663637.865417734
gan,df_ap.csv,Vazao,155378898.6802078
gan,df_ap.csv,Vazao_bbr,47093399.16517611
gan,df_ba.csv,Vazao,275512284.973271
gan,df_ba.csv,Vazao_bbr,430979325.17699987
gan,df_ce.csv,Vazao,88029496.25649987
gan,df_ce.csv,Vazao_bbr,37885712.30516711
gan,df_es.csv,Vazao,82050177.5567169
gan,df_es.csv,Vazao_bbr,32991398.558096446
gan,df_go.csv,Vazao,321858460.76595175
gan,df_go.csv,Vazao_bbr,31242024.560474407
gan,df_ma.csv,Vazao,312677553.9158352
gan,df_ma.csv,Vazao_bbr,353915196.598513
gan,df_mg.csv,Vazao,309423342.5412305
gan,df_mg.csv,Vazao_bbr,625518258.5206586
gan,df_ms.csv,Vazao,97995884.88407825
gan,df_ms.csv,Vazao_bbr,33039429.974861722
gan,df_mt.csv,Vazao,70193422.06288218
gan,df_mt.csv,Vazao_bbr,36680609.659550615
gan,df_pa.csv,Vazao,769919226.7763735
gan,df_pa.csv,Vazao_bbr,830900230.7635643
gan,df_pb.csv,Vazao,103021176.49576187
gan,df_pb.csv,Vazao_bbr,35156624.88888338
gan,df_pi.csv,Vazao,89927133.82409692
gan,df_pi.csv,Vazao_bbr,32079410.52897782
gan,df_pr.csv,Vazao,896961241.3660464
gan,df_pr.csv,Vazao_bbr,993599783.7681555
gan,df_rj.csv,Vazao,1110942823.1120238
gan,df_rj.csv,Vazao_bbr,1079556964.4712021
gan,df_rn.csv,Vazao,115120629.08164686
gan,df_rn.csv,Vazao_bbr,50033623.99636703
gan,df_ro.csv,Vazao,90358633.1237058
gan,df_ro.csv,Vazao_bbr,27795604.62219678
gan,df_rr.csv,Vazao,106950871.55624755
gan,df_rr.csv,Vazao_bbr,95637648.35110345
gan,df_rs.csv,Vazao,322126948.7337091
gan,df_rs.csv,Vazao_bbr,434558565.8142306
gan,df_sc.csv,Vazao,820891912.0904646
gan,df_sc.csv,Vazao_bbr,900167170.9173692
gan,df_se.csv,Vazao,147190541.36271435
gan,df_se.csv,Vazao_bbr,39328011.65263118
gan,df_sp.csv,Vazao,938148694.0647709
gan,df_sp.csv,Vazao_bbr,977524239.1240867
gan,df_to.csv,Vazao,105230042.95680635
gan,df_to.csv,Vazao_bbr,44359990.93884561
